Time,Irradiance,Temp,Vpv,Ipv,Vdc,Vrms_1,Vrms_2,Vrms_3,Irms_1,Irms_2,Irms_3,Pac,Q,THDv_1,THDv_2,THDv_3,THDi_1,THDi_2,THDi_3,ScenarioID,SetTemp
0,200,45,480.050254816809,539.127932554031,480.050254816809,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.001,200,45,487.298878697438,491.626501505671,487.298878697438,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.002,200,45,472.389885988142,503.376604872724,472.389885988142,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.003,200,45,437.640834677116,513.595409743121,437.640834677116,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.004,200,45,411.545138943581,513.319781440318,411.545138943581,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.005,200,45,388.098389497967,511.476982048972,388.098389497967,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.006,200,45,379.332752135914,508.659288566597,379.332752135914,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.007,200,45,438.717137522071,500.893805435467,438.717137522071,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.008,200,45,439.145785593333,497.633823103809,439.145785593333,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.009,200,45,451.593184725011,491.72205632237,451.593184725011,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.01,200,45,452.638598105438,488.290579187343,452.638598105438,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.011,200,45,424.887260463052,490.176143422898,424.887260463052,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.012,200,45,375.481623201985,489.828523502035,375.481623201985,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.013,200,45,273.106176093671,489.631403725472,273.106176093671,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.014,200,45,239.633343917444,487.37903238299,239.633343917444,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.015,200,45,258.959756734937,483.697452658668,258.959756734937,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.016,200,45,265.250856016192,480.335593891943,265.250856016192,120,120,120,120,120,120,0,0,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,20,45
0.017,200,45,400.31277322162,473.010260960156,400.31277322162,13647.4801920074,13842.7408181788,14469.827440919,54.3027086681129,67.7567913967782,15.8264220510907,-664.611842955461,-393.009576189814,1.49011611938477e-08,1.49011611938477e-08,1.89150100698828,1.49011611938477e-08,1.49011611938477e-08,0.593354515585416,20,45
0.018,200,45,440.593837766406,466.082409417484,440.593837766406,13673.2501755651,14195.8878512635,14079.4609316666,56.9203701389801,69.9257310785706,15.8223866884252,-561.378236973049,-430.630156468499,1.49011611938477e-08,1.49011611938477e-08,1.93888482794879,1.49011611938477e-08,1.49011611938477e-08,0.631654909703881,20,45
0.019,200,45,405.437697696445,466.412009418916,405.437697696445,14103.9049039785,14120.1180485319,13764.8951500422,58.2859051414652,70.6172610157667,15.7022377400291,-374.128184143716,-457.394678119599,1.49011611938477e-08,1.49011611938477e-08,1.90107007605428,0.314305186577404,1.49011611938477e-08,0.94411601292465,20,45
0.02,200,45,300.561471017322,466.634160773288,300.561471017322,14400.1410344991,13720.7288572022,13936.5396924224,58.6618221432197,69.867757740885,15.5223905724758,-119.800162165565,-421.51857346614,1.49011611938477e-08,1.49011611938477e-08,1.77565070912799,1.24577861895826,0.724233893867915,1.38586707297502,20,45
0.021,200,45,243.743931023057,464.944011326933,243.743931023057,14191.6564084097,13519.9876531571,14347.8213928866,58.548820923182,67.9521395494628,14.1806274891346,69.0914537568511,-298.500166024411,1.49011611938477e-08,1.49011611938477e-08,1.7709573237768,2.0287859554784,1.68314223964691,2.36765466651121,20,45
0.022,200,45,213.692665457837,462.5507320703,213.692665457837,13779.4600865655,13787.5214952999,14475.6770934758,57.7847294161693,65.977907765565,12.8588211715853,122.233092261561,-171.582144470454,1.49011611938477e-08,1.49011611938477e-08,1.872410210778,2.66493247614318,2.74766912554586,4.23213137315771,20,45
0.023,200,45,150.408763867188,460.965799326512,150.408763867188,13686.0567871152,14168.7270698822,14137.7955330862,56.9150476346283,65.3669829738031,13.4763105491751,3.41251829396174,-118.686716954443,1.49011611938477e-08,1.49011611938477e-08,1.93536696348878,7.6497087429431,7.39543367069257,2.71843452664772,20,45
